"State","District","Kharif","Summer"
"Andhra Pradesh","ANANTAPUR","1","0"
"Andhra Pradesh","EAST GODAVARI","1","0"
"Andhra Pradesh","CHITTOOR","1","0"
"Andhra Pradesh","GUNTUR","1","0"
"Andhra Pradesh","KADAPA","1","0"
"Andhra Pradesh","KURNOOL","1","0"
"Andhra Pradesh","PRAKASAM","1","0"
"Andhra Pradesh","SPSR NELLORE","1","0"
"Andhra Pradesh","SRIKAKULAM","1","0"
"Andhra Pradesh","VISAKHAPATANAM","1","0"
"Andhra Pradesh","VIZIANAGARAM","1","0"
"Bihar","BHAGALPUR","1","0"
"Bihar","BHOJPUR","1","0"
"Bihar","BUXAR","1","0"
"Bihar","KATIHAR","1","0"
"Bihar","SIWAN","1","0"
"Gujarat","AHMADABAD","1","1"
"Gujarat","AMRELI","1","1"
"Gujarat","ANAND","1","1"
"Gujarat","ARAVALLI","1","1"
"Gujarat","BANAS KANTHA","1","1"
"Gujarat","BHARUCH","0","1"
"Gujarat","BHAVNAGAR","1","1"
"Gujarat","BOTAD","1","1"
"Gujarat","DEVBHUMI DWARKA","1","0"
"Gujarat","DOHAD","0","1"
"Gujarat","GANDHINAGAR","1","1"
"Gujarat","GIR SOMNATH","1","1"
"Gujarat","JAMNAGAR","1","0"
"Gujarat","JUNAGADH","1","1"
"Gujarat","KACHCHH","1","1"
"Gujarat","KHEDA","1","1"
"Gujarat","MAHESANA","1","1"
"Gujarat","MAHISAGAR","1","1"
"Gujarat","MORBI","1","1"
"Gujarat","NARMADA","1","1"
"Gujarat","PANCH MAHALS","1","1"
"Gujarat","PATAN","1","1"
"Gujarat","PORBANDAR","0","1"
"Gujarat","RAJKOT","1","1"
"Gujarat","SABAR KANTHA","1","1"
"Gujarat","SURAT","1","0"
"Gujarat","SURENDRANAGAR","1","1"
"Gujarat","VADODARA","1","1"
"Himachal Pradesh","BILASPUR","1","0"
"Himachal Pradesh","HAMIRPUR","1","0"
"Himachal Pradesh","KANGRA","1","0"
"Himachal Pradesh","MANDI","1","0"
"Himachal Pradesh","SHIMLA","1","0"
"Himachal Pradesh","SIRMAUR","1","0"
"Karnataka","BAGALKOT","1","0"
"Karnataka","BANGALORE RURAL","1","0"
"Karnataka","BELGAUM","1","0"
"Karnataka","BELLARY","1","1"
"Karnataka","BENGALURU URBAN","1","0"
"Karnataka","BIDAR","1","0"
"Karnataka","BIJAPUR","1","0"
"Karnataka","CHAMARAJANAGAR","1","0"
"Karnataka","CHIKBALLAPUR","1","0"
"Karnataka","CHIKMAGALUR","1","0"
"Karnataka","CHITRADURGA","1","0"
"Karnataka","DAKSHIN KANNAD","1","0"
"Karnataka","DAVANGERE","1","0"
"Karnataka","DHARWAD","1","1"
"Karnataka","GADAG","1","0"
"Karnataka","GULBARGA","1","0"
"Karnataka","HASSAN","1","0"
"Karnataka","HAVERI","1","0"
"Karnataka","KOLAR","1","0"
"Karnataka","KOPPAL","1","0"
"Karnataka","MANDYA","1","0"
"Karnataka","MYSORE","1","0"
"Karnataka","RAICHUR","1","1"
"Karnataka","RAMANAGARA","1","0"
"Karnataka","SHIMOGA","1","0"
"Karnataka","TUMKUR","1","1"
"Karnataka","UTTAR KANNAD","1","0"
"Karnataka","YADGIR","1","1"
"Madhya Pradesh","AGAR MALWA","1","0"
"Madhya Pradesh","ALIRAJPUR","1","0"
"Madhya Pradesh","ANUPPUR","1","0"
"Madhya Pradesh","ASHOKNAGAR","1","0"
"Madhya Pradesh","BALAGHAT","1","0"
"Madhya Pradesh","BARWANI","1","0"
"Madhya Pradesh","BETUL","1","0"
"Madhya Pradesh","BHIND","1","0"
"Madhya Pradesh","BHOPAL","1","0"
"Madhya Pradesh","BURHANPUR","1","0"
"Madhya Pradesh","CHHATARPUR","1","0"
"Madhya Pradesh","CHHINDWARA","1","0"
"Madhya Pradesh","DATIA","1","0"
"Madhya Pradesh","DEWAS","1","0"
"Madhya Pradesh","DHAR","1","0"
"Madhya Pradesh","GUNA","1","0"
"Madhya Pradesh","GWALIOR","1","0"
"Madhya Pradesh","HARDA","1","0"
"Madhya Pradesh","HOSHANGABAD","1","0"
"Madhya Pradesh","INDORE","1","0"
"Madhya Pradesh","JABALPUR","1","0"
"Madhya Pradesh","JHABUA","1","0"
"Madhya Pradesh","KHANDWA","1","0"
"Madhya Pradesh","KHARGONE","1","0"
"Madhya Pradesh","MANDLA","1","0"
"Madhya Pradesh","MANDSAUR","1","0"
"Madhya Pradesh","MORENA","1","0"
"Madhya Pradesh","NARSINGHPUR","1","0"
"Madhya Pradesh","NEEMUCH","1","0"
"Madhya Pradesh","PANNA","1","0"
"Madhya Pradesh","RAISEN","1","0"
"Madhya Pradesh","RAJGARH","1","0"
"Madhya Pradesh","RATLAM","1","0"
"Madhya Pradesh","REWA","1","0"
"Madhya Pradesh","SAGAR","1","0"
"Madhya Pradesh","SATNA","1","0"
"Madhya Pradesh","SEHORE","1","0"
