"State","District","Kharif","Rabi","Whole Year"
"Andhra Pradesh","ANANTAPUR","1","0","0"
"Andhra Pradesh","EAST GODAVARI","1","0","0"
"Andhra Pradesh","WEST GODAVARI","1","0","0"
"Andhra Pradesh","CHITTOOR","1","0","0"
"Andhra Pradesh","GUNTUR","1","0","0"
"Andhra Pradesh","KADAPA","1","0","0"
"Andhra Pradesh","KRISHNA","1","0","0"
"Andhra Pradesh","PRAKASAM","1","0","0"
"Andhra Pradesh","SPSR NELLORE","1","0","0"
"Andhra Pradesh","SRIKAKULAM","1","0","0"
"Andhra Pradesh","VISAKHAPATANAM","1","0","0"
"Andhra Pradesh","VIZIANAGARAM","1","0","0"
"Goa","NORTH GOA","0","0","1"
"Goa","SOUTH GOA","0","0","1"
"Karnataka","BAGALKOT","0","0","1"
"Karnataka","BANGALORE RURAL","0","0","1"
"Karnataka","BELGAUM","0","0","1"
"Karnataka","BELLARY","0","0","1"
"Karnataka","BENGALURU URBAN","0","0","1"
"Karnataka","BIDAR","0","0","1"
"Karnataka","CHAMARAJANAGAR","0","0","1"
"Karnataka","CHIKBALLAPUR","0","0","1"
"Karnataka","CHIKMAGALUR","0","0","1"
"Karnataka","CHITRADURGA","0","0","1"
"Karnataka","DAKSHIN KANNAD","0","0","1"
"Karnataka","DAVANGERE","0","0","1"
"Karnataka","DHARWAD","0","0","1"
"Karnataka","GADAG","0","0","1"
"Karnataka","GULBARGA","0","0","1"
"Karnataka","HASSAN","0","0","1"
"Karnataka","HAVERI","0","0","1"
"Karnataka","KODAGU","0","0","1"
"Karnataka","KOLAR","0","0","1"
"Karnataka","KOPPAL","0","0","1"
"Karnataka","MANDYA","0","0","1"
"Karnataka","MYSORE","0","0","1"
"Karnataka","RAMANAGARA","0","0","1"
"Karnataka","SHIMOGA","0","0","1"
"Karnataka","TUMKUR","0","0","1"
"Karnataka","UDUPI","0","0","1"
"Karnataka","UTTAR KANNAD","0","0","1"
"Karnataka","YADGIR","0","0","1"
"Kerala","ALAPPUZHA","0","0","1"
"Kerala","ERNAKULAM","0","0","1"
"Kerala","IDUKKI","0","0","1"
"Kerala","KANNUR","0","0","1"
"Kerala","KASARAGOD","0","0","1"
"Kerala","KOLLAM","0","0","1"
"Kerala","KOTTAYAM","0","0","1"
"Kerala","KOZHIKODE","0","0","1"
"Kerala","MALAPPURAM","0","0","1"
"Kerala","PALAKKAD","0","0","1"
"Kerala","PATHANAMTHITTA","0","0","1"
"Kerala","THIRUVANANTHAPURAM","0","0","1"
"Kerala","THRISSUR","0","0","1"
"Kerala","WAYANAD","0","0","1"
"Meghalaya","EAST GARO HILLS","0","1","0"
"Meghalaya","NORTH GARO HILLS","0","1","0"
"Meghalaya","SOUTH GARO HILLS","0","1","0"
"Meghalaya","SOUTH WEST GARO HILLS","0","1","0"
"Meghalaya","WEST GARO HILLS","0","1","0"
"Telangana","BHADRADRI","1","0","0"
"Telangana","KHAMMAM","1","0","0"
"Telangana","KOMARAM BHEEM ASIFABAD","1","0","0"
"Telangana","MANCHERIAL","1","0","0"
"Telangana","MULUGU","1","0","0"
"Telangana","SANGAREDDY","1","0","0"
