"State","District","Kharif","Rabi"
"Andhra Pradesh","ANANTAPUR","1","1"
"Andhra Pradesh","EAST GODAVARI","1","1"
"Andhra Pradesh","WEST GODAVARI","1","0"
"Andhra Pradesh","CHITTOOR","1","0"
"Andhra Pradesh","GUNTUR","1","1"
"Andhra Pradesh","KADAPA","1","1"
"Andhra Pradesh","KRISHNA","1","0"
"Andhra Pradesh","KURNOOL","1","0"
"Andhra Pradesh","PRAKASAM","1","1"
"Andhra Pradesh","SPSR NELLORE","1","1"
"Andhra Pradesh","SRIKAKULAM","1","0"
"Andhra Pradesh","VISAKHAPATANAM","1","0"
"Andhra Pradesh","VIZIANAGARAM","1","0"
"Gujarat","AHMADABAD","1","0"
"Gujarat","AMRELI","1","0"
"Gujarat","ANAND","1","0"
"Gujarat","ARAVALLI","1","0"
"Gujarat","BANAS KANTHA","1","0"
"Gujarat","BHARUCH","1","0"
"Gujarat","BHAVNAGAR","1","0"
"Gujarat","BOTAD","1","0"
"Gujarat","CHHOTAUDEPUR","1","0"
"Gujarat","DANG","1","0"
"Gujarat","DEVBHUMI DWARKA","1","0"
"Gujarat","DOHAD","1","0"
"Gujarat","GANDHINAGAR","1","0"
"Gujarat","GIR SOMNATH","1","0"
"Gujarat","JAMNAGAR","1","0"
"Gujarat","JUNAGADH","1","0"
"Gujarat","KACHCHH","1","0"
"Gujarat","KHEDA","1","0"
"Gujarat","MAHESANA","1","0"
"Gujarat","MAHISAGAR","1","0"
"Gujarat","MORBI","1","0"
"Gujarat","NARMADA","1","0"
"Gujarat","NAVSARI","1","0"
"Gujarat","PANCH MAHALS","1","0"
"Gujarat","PATAN","1","0"
"Gujarat","PORBANDAR","1","0"
"Gujarat","RAJKOT","1","0"
"Gujarat","SABAR KANTHA","1","0"
"Gujarat","SURAT","1","0"
"Gujarat","SURENDRANAGAR","1","0"
"Gujarat","TAPI","1","0"
"Gujarat","VADODARA","1","0"
"Gujarat","VALSAD","1","0"
"Himachal Pradesh","KANGRA","1","0"
"Karnataka","BAGALKOT","1","0"
"Karnataka","BANGALORE RURAL","1","0"
"Karnataka","BELGAUM","1","0"
"Karnataka","BELLARY","1","1"
"Karnataka","BENGALURU URBAN","1","0"
"Karnataka","BIDAR","1","0"
"Karnataka","BIJAPUR","1","1"
"Karnataka","CHAMARAJANAGAR","1","0"
"Karnataka","CHIKBALLAPUR","1","0"
"Karnataka","CHIKMAGALUR","1","0"
"Karnataka","CHITRADURGA","1","1"
"Karnataka","DAVANGERE","1","0"
"Karnataka","DHARWAD","1","1"
"Karnataka","GADAG","1","1"
"Karnataka","GULBARGA","1","0"
"Karnataka","HASSAN","1","0"
"Karnataka","HAVERI","1","1"
"Karnataka","KOPPAL","1","1"
"Karnataka","MANDYA","1","0"
"Karnataka","MYSORE","1","0"
"Karnataka","RAICHUR","1","0"
