"State","District","Kharif","Rabi","Autumn","Winter"
"Andhra Pradesh","ANANTAPUR","1","1","0","0"
"Andhra Pradesh","EAST GODAVARI","1","1","0","0"
"Andhra Pradesh","WEST GODAVARI","1","1","0","0"
"Andhra Pradesh","CHITTOOR","1","1","0","0"
"Andhra Pradesh","GUNTUR","1","1","0","0"
"Andhra Pradesh","KADAPA","1","1","0","0"
"Andhra Pradesh","KRISHNA","1","1","0","0"
"Andhra Pradesh","KURNOOL","1","1","0","0"
"Andhra Pradesh","PRAKASAM","1","1","0","0"
"Andhra Pradesh","SPSR NELLORE","1","1","0","0"
"Andhra Pradesh","SRIKAKULAM","1","1","0","0"
"Andhra Pradesh","VISAKHAPATANAM","1","1","0","0"
"Andhra Pradesh","VIZIANAGARAM","1","1","0","0"
"Bihar","ARARIA","0","0","1","1"
"Bihar","ARWAL","0","0","0","1"
"Bihar","AURANGABAD","0","0","0","1"
"Bihar","BANKA","0","0","0","1"
"Bihar","BEGUSARAI","0","0","0","1"
"Bihar","BHAGALPUR","0","0","0","1"
"Bihar","BHOJPUR","0","0","1","1"
"Bihar","BUXAR","0","0","0","1"
"Bihar","DARBHANGA","0","0","1","1"
"Bihar","GAYA","0","0","1","1"
"Bihar","GOPALGANJ","0","0","1","1"
"Bihar","JAMUI","0","0","0","1"
"Bihar","JEHANABAD","0","0","0","1"
"Bihar","KAIMUR","0","0","0","1"
"Bihar","KATIHAR","0","0","1","1"
"Bihar","KHAGARIA","0","0","1","1"
"Bihar","KISHANGANJ","0","0","1","1"
"Bihar","LAKHISARAI","0","0","1","1"
"Bihar","MADHEPURA","0","0","1","1"
"Bihar","MADHUBANI","0","0","1","1"
"Bihar","MUNGER","0","0","0","1"
"Bihar","MUZAFFARPUR","0","0","1","1"
"Bihar","NALANDA","0","0","0","1"
"Bihar","NAWADA","0","0","0","1"
"Bihar","PASHCHIM CHAMPARAN","0","0","1","1"
"Bihar","PATNA","0","0","1","1"
"Bihar","PURBI CHAMPARAN","0","0","1","1"
"Bihar","ROHTAS","0","0","1","1"
"Bihar","PURNIA","0","0","1","1"
"Bihar","SAHARSA","0","0","1","1"
"Bihar","SAMASTIPUR","0","0","1","1"
"Bihar","SARAN","0","0","1","1"
"Bihar","SHEIKHPURA","0","0","1","1"
"Bihar","SHEOHAR","0","0","1","1"
"Bihar","SITAMARHI","0","0","1","1"
"Bihar","SIWAN","0","0","1","1"
"Bihar","SUPAUL","0","0","1","1"
"Bihar","VAISHALI","0","0","1","1"
"Goa","North Goa","1","0","0","0"
"Goa","South Goa","1","0","0","0"
"Gujarat","AHMADABAD","1","0","0","0"
"Gujarat","ANAND","1","0","0","0"
"Gujarat","ARAVALLI","1","0","0","0"
"Gujarat","BHARUCH","1","0","0","0"
"Gujarat","CHHOTAUDEPUR","1","0","0","0"
"Gujarat","DANG","1","0","0","0"
"Gujarat","DOHAD","1","0","0","0"
"Gujarat","GANDHINAGAR","1","0","0","0"
"Gujarat","KHEDA","1","0","0","0"
"Gujarat","MAHESANA","1","0","0","0"
"Gujarat","MAHISAGAR","1","0","0","0"
"Gujarat","NARMADA","1","0","0","0"
"Gujarat","NAVSARI","1","0","0","0"
"Gujarat","PANCH MAHALS","1","0","0","0"
"Gujarat","SABAR KANTHA","1","0","0","0"
"Gujarat","SURAT","1","0","0","0"
"Gujarat","SURENDRANAGAR","1","0","0","0"
"Gujarat","TAPI","1","0","0","0"
"Gujarat","VADODARA","1","0","0","0"
"Gujarat","VALSAD","1","0","0","0"
"Himachal Pradesh","BILASPUR","1","0","0","0"
"Himachal Pradesh","CHAMBA","1","0","0","0"
"Himachal Pradesh","HAMIRPUR","1","0","0","0"
"Himachal Pradesh","KANGRA","1","0","0","0"
"Himachal Pradesh","KINNAUR","1","0","0","0"
"Himachal Pradesh","KULLU","1","0","0","0"
"Himachal Pradesh","MANDI","1","0","0","0"
"Himachal Pradesh","SHIMLA","1","0","0","0"
"Himachal Pradesh","SIRMAUR","1","0","0","0"
"Himachal Pradesh","SOLAN","1","0","0","0"
"Himachal Pradesh","UNA","1","0","0","0"
"Karnataka","BAGALKOT","0","0","1","1"
"Karnataka","BANGALORE RURAL","0","0","1","1"
"Karnataka","BELGAUM","0","0","1","1"
"Karnataka","BELLARY","0","0","1","1"
"Karnataka","BENGALURU URBAN","0","0","1","1"
"Karnataka","BIDAR","0","0","1","1"
"Karnataka","BIJAPUR","0","0","1","1"
"Karnataka","CHAMARAJANAGAR","0","0","1","1"
"Karnataka","CHIKBALLAPUR","0","0","1","1"
"Karnataka","CHIKMAGALUR","0","0","1","1"
"Karnataka","CHITRADURGA","0","0","1","1"
"Karnataka","DAKSHIN KANNAD","0","0","1","1"
"Karnataka","DAVANGERE","0","0","1","1"
"Karnataka","DHARWAD","0","0","1","1"
"Karnataka","GADAG","0","0","1","1"
"Karnataka","GULBARGA","0","0","1","1"
"Karnataka","HASSAN","0","0","1","1"
"Karnataka","HAVERI","0","0","1","1"
"Karnataka","KODAGU","0","0","1","1"
"Karnataka","KOLAR","0","0","1","1"
"Karnataka","KOPPAL","0","0","1","1"
"Karnataka","MANDYA","0","0","1","1"
"Karnataka","MYSORE","0","0","1","1"
"Karnataka","RAICHUR","0","0","1","1"
"Karnataka","RAMANAGARA","0","0","1","1"
"Karnataka","SHIMOGA","0","0","1","1"
"Karnataka","TUMKUR","0","0","1","1"
"Karnataka","UDUPI","0","0","1","1"
"Karnataka","UTTAR KANNAD","0","0","1","1"
"Karnataka","YADGIR","0","0","1","1"
"Madhya Pradesh","AGAR MALWA","1","0","0","0"
"Madhya Pradesh","ALIRAJPUR","1","0","0","0"
"Madhya Pradesh","ANUPPUR","1","0","0","0"
"Madhya Pradesh","ASHOKNAGAR","1","0","0","0"
"Madhya Pradesh","BALAGHAT","1","0","0","0"
"Madhya Pradesh","BARWANI","1","0","0","0"
"Madhya Pradesh","BETUL","1","0","0","0"
"Madhya Pradesh","BHIND","1","0","0","0"
"Madhya Pradesh","BHOPAL","1","0","0","0"
"Madhya Pradesh","BURHANPUR","1","0","0","0"
"Madhya Pradesh","CHHATARPUR","1","0","0","0"
"Madhya Pradesh","CHHINDWARA","1","0","0","0"
"Madhya Pradesh","DAMOH","1","0","0","0"
"Madhya Pradesh","DATIA","1","0","0","0"
"Madhya Pradesh","DEWAS","1","0","0","0"
"Madhya Pradesh","DHAR","1","0","0","0"
"Madhya Pradesh","DINDORI","1","0","0","0"
"Madhya Pradesh","GUNA","1","0","0","0"
"Madhya Pradesh","GWALIOR","1","0","0","0"
"Madhya Pradesh","HARDA","1","0","0","0"
"Madhya Pradesh","HOSHANGABAD","1","0","0","0"
"Madhya Pradesh","INDORE","1","0","0","0"
"Madhya Pradesh","JABALPUR","1","0","0","0"
"Madhya Pradesh","JHABUA","1","0","0","0"
"Madhya Pradesh","KATNI","1","0","0","0"
"Madhya Pradesh","KHANDWA","1","0","0","0"
"Madhya Pradesh","KHARGONE","1","0","0","0"
"Madhya Pradesh","MANDLA","1","0","0","0"
"Madhya Pradesh","MANDSAUR","1","0","0","0"
"Madhya Pradesh","MORENA","1","0","0","0"
"Madhya Pradesh","NARSINGHPUR","1","0","0","0"
"Madhya Pradesh","NEEMUCH","1","0","0","0"
"Madhya Pradesh","NIWARI","1","0","0","0"
"Madhya Pradesh","PANNA","1","0","0","0"
"Madhya Pradesh","RAISEN","1","0","0","0"
"Madhya Pradesh","RAJGARH","1","0","0","0"
"Madhya Pradesh","RATLAM","1","0","0","0"
"Madhya Pradesh","REWA","1","0","0","0"
"Madhya Pradesh","SAGAR","1","0","0","0"
"Madhya Pradesh","SATNA","1","0","0","0"
"Madhya Pradesh","SEHORE","1","0","0","0"
"Madhya Pradesh","SEONI","1","0","0","0"
"Madhya Pradesh","SHAHDOL","1","0","0","0"
"Madhya Pradesh","SHAJAPUR","1","0","0","0"
"Madhya Pradesh","SHEOPUR","1","0","0","0"
"Madhya Pradesh","SHIVPURI","1","0","0","0"
"Madhya Pradesh","SIDHI","1","0","0","0"
"Madhya Pradesh","SINGRAULI","1","0","0","0"
"Madhya Pradesh","TIKAMGARH","1","0","0","0"
"Madhya Pradesh","UJJAIN","1","0","0","0"
"Madhya Pradesh","UMARIA","1","0","0","0"
"Madhya Pradesh","VIDISHA","1","0","0","0"
