"State","District","Kharif","Rabi"
"Andhra Pradesh","ANANTAPUR","1","1"
"Andhra Pradesh","EAST GODAVARI","1","1"
"Andhra Pradesh","WEST GODAVARI","1","1"
"Andhra Pradesh","CHITTOOR","1","1"
"Andhra Pradesh","GUNTUR","1","1"
"Andhra Pradesh","KADAPA","1","1"
"Andhra Pradesh","KRISHNA","1","1"
"Andhra Pradesh","KURNOOL","1","1"
"Andhra Pradesh","PRAKASAM","1","1"
"Andhra Pradesh","SPSR NELLORE","1","1"
"Andhra Pradesh","SRIKAKULAM","1","0"
"Andhra Pradesh","VISAKHAPATANAM","1","0"
"Andhra Pradesh","VIZIANAGARAM","1","1"
"Bihar","ARWAL","1","0"
"Bihar","AURANGABAD","1","0"
"Bihar","BANKA","1","0"
"Bihar","BEGUSARAI","1","0"
"Bihar","BHAGALPUR","1","0"
"Bihar","BHOJPUR","1","0"
"Bihar","BUXAR","1","0"
"Bihar","DARBHANGA","1","0"
"Bihar","GAYA","1","0"
"Bihar","GOPALGANJ","1","0"
"Bihar","JAMUI","1","0"
"Bihar","JEHANABAD","1","0"
"Bihar","KAIMUR","1","0"
"Bihar","KATIHAR","1","0"
"Bihar","KHAGARIA","1","0"
"Bihar","KISHANGANJ","1","0"
"Bihar","MADHEPURA","1","0"
"Bihar","MADHUBANI","1","0"
"Bihar","MUNGER","1","0"
"Bihar","MUZAFFARPUR","1","0"
"Bihar","NALANDA","1","0"
"Bihar","NAWADA","1","0"
"Bihar","PASHCHIM CHAMPARAN","1","0"
"Bihar","PATNA","1","0"
"Bihar","PURBI CHAMPARAN","1","0"
"Bihar","ROHTAS","1","0"
"Bihar","SAMASTIPUR","1","0"
"Bihar","SARAN","1","0"
"Bihar","SHEIKHPURA","1","0"
"Bihar","SHEOHAR","1","0"
"Bihar","SITAMARHI","1","0"
"Bihar","SIWAN","1","0"
"Bihar","SUPAUL","1","0"
"Bihar","VAISHALI","1","0"
"Gujarat","AHMADABAD","1","0"
"Gujarat","AMRELI","1","0"
"Gujarat","ANAND","1","0"
"Gujarat","ARAVALLI","1","0"
"Gujarat","BANAS KANTHA","1","0"
"Gujarat","BHARUCH","1","0"
"Gujarat","BHAVNAGAR","1","0"
"Gujarat","BOTAD","1","0"
"Gujarat","CHHOTAUDEPUR","1","0"
"Gujarat","DANG","1","0"
"Gujarat","DOHAD","1","0"
"Gujarat","GANDHINAGAR","1","0"
"Gujarat","GIR SOMNATH","1","0"
"Gujarat","JAMNAGAR","1","0"
"Gujarat","JUNAGADH","1","0"
"Gujarat","KHEDA","1","0"
"Gujarat","MAHESANA","1","0"
"Gujarat","MAHISAGAR","1","0"
"Gujarat","MORBI","1","0"
"Gujarat","NARMADA","1","0"
"Gujarat","NAVSARI","1","0"
"Gujarat","PANCH MAHALS","1","0"
"Gujarat","PATAN","1","0"
