State,Crop,Soil,Season,SowingMonth,MinTemp,MaxTemp,SoilPHMin,SoilPHMax,MinRainfall,MaxRainfall
Andhra Pradesh,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Bihar,Tur,Sandy Loamy Soil,Kharif,July,30,35,6.5,7.5,600,650
Gujarat,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Himachal Pradesh,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Karnataka,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Kerala,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Madhya Pradesh,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Meghalaya,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Nagaland,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Telangana,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Tripura,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Uttar Pradesh,Tur,Sandy Loamy Soil,Kharif,July,30,35,6.5,7.5,600,650
Uttarakhand,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
West Bengal,Tur,Sandy Loamy Soil,Kharif,June,30,35,6.5,7.5,600,650
Andhra Pradesh,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Bihar,Tur,Sandy Loamy Soil,Rabi,November,30,35,6.5,7.5,600,650
Gujarat,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Himachal Pradesh,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Karnataka,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Kerala,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Madhya Pradesh,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Meghalaya,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Nagaland,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Telangana,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Tripura,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Uttar Pradesh,Tur,Sandy Loamy Soil,Rabi,November,30,35,6.5,7.5,600,650
Uttarakhand,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
West Bengal,Tur,Sandy Loamy Soil,Rabi,October,30,35,6.5,7.5,600,650
Andhra Pradesh,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bihar,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Gujarat,Bajra,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Himachal Pradesh,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Karnataka,Bajra,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Madhya Pradesh,Bajra,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Nagaland,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Telangana,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Uttar Pradesh,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
West Bengal,Bajra,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Andhra Pradesh,Bajra,Sandy Loamy Soil,Summer,January,20,30,7,8,400,750
