State,District,Rabi
Andhra Pradesh,KURNOOL,1
Andhra Pradesh,PRAKASAM,1
Bihar,ARARIA,1
Bihar,ARWAL,1
Bihar,AURANGABAD,1
Bihar,BANKA,1
Bihar,BEGUSARAI,1
Bihar,BHAGALPUR,1
Bihar,BHOJPUR,1
Bihar,BUXAR,1
Bihar,DARBHANGA,1
Bihar,GAYA,1
Bihar,GOPALGANJ,1
Bihar,JAMUI,1
Bihar,JEHANABAD,1
Bihar,KAIMUR,1
Bihar,KATIHAR,1
Bihar,KHAGARIA,1
Bihar,KISHANGANJ,1
Bihar,LAKHISARAI,1
Bihar,MADHEPURA,1
Bihar,MADHUBANI,1
Bihar,MUNGER,1
Bihar,MUZAFFARPUR,1
Bihar,NALANDA,1
Bihar,NAWADA,1
Bihar,PASHCHIM CHAMPARAN,1
Bihar,PATNA,1
Bihar,PURBI CHAMPARAN,1
Bihar,ROHTAS,1
Bihar,PURNIA,1
Bihar,SAHARSA,1
Bihar,SAMASTIPUR,1
Bihar,SARAN,1
Bihar,SHEIKHPURA,1
Bihar,SHEOHAR,1
Bihar,SITAMARHI,1
Bihar,SIWAN,1
Bihar,SUPAUL,1
Bihar,VAISHALI,1
Gujarat,AHMADABAD,1
Gujarat,AMRELI,1
Gujarat,ANAND,1
Gujarat,ARAVALLI,1
Gujarat,BANAS KANTHA,1
Gujarat,BHARUCH,1
Gujarat,BHAVNAGAR,1
Gujarat,BOTAD,1
Gujarat,CHHOTAUDEPUR,1
Gujarat,DANG,1
Gujarat,DEVBHUMI DWARKA,1
Gujarat,DOHAD,1
Gujarat,GANDHINAGAR,1
Gujarat,GIR SOMNATH,1
Gujarat,JAMNAGAR,1
Gujarat,JUNAGADH,1
Gujarat,KACHCHH,1
Gujarat,KHEDA,1
Gujarat,MAHESANA,1
Gujarat,MAHISAGAR,1
Gujarat,MORBI,1
Gujarat,NARMADA,1
Gujarat,NAVSARI,1
Gujarat,PANCH MAHALS,1
Gujarat,PATAN,1
Gujarat,PORBANDAR,1
Gujarat,RAJKOT,1
Gujarat,SABAR KANTHA,1
Gujarat,SURAT,1
Gujarat,SURENDRANAGAR,1
Gujarat,TAPI,1
Gujarat,VADODARA,1
Gujarat,VALSAD,1
Himachal Pradesh,BILASPUR,1
Himachal Pradesh,CHAMBA,1
Himachal Pradesh,HAMIRPUR,1
Himachal Pradesh,KANGRA,1
Himachal Pradesh,KINNAUR,1
Himachal Pradesh,KULLU,1
Himachal Pradesh,LAHUL AND SPITI,1
Himachal Pradesh,MANDI,1
Himachal Pradesh,SHIMLA,1
Himachal Pradesh,SIRMAUR,1
Himachal Pradesh,SOLAN,1
Himachal Pradesh,UNA,1
Karnataka,BAGALKOT,1
Karnataka,BANGALORE RURAL,1
Karnataka,BELGAUM,1
Karnataka,BELLARY,1
Karnataka,BENGALURU URBAN,1
Karnataka,BIDAR,1
Karnataka,BIJAPUR,1
Karnataka,CHAMARAJANAGAR,1
Karnataka,CHIKBALLAPUR,1
Karnataka,CHIKMAGALUR,1
Karnataka,CHITRADURGA,1
Karnataka,DAKSHIN KANNAD,1
Karnataka,DAVANGERE,1
Karnataka,DHARWAD,1
Karnataka,GADAG,1
